Filename;Categoria_IA;Ruta_Final
cellImage_1028923314_0.jpg;REPUESTOS;C:\img\CLASIFICACION_FINAL_IA\REPUESTOS\cellImage_1028923314_0.jpg
cellImage_1039421477_0.jpg;REPUESTOS;C:\img\CLASIFICACION_FINAL_IA\REPUESTOS\cellImage_1039421477_0.jpg
cellImage_1063710711_0.jpg;REPUESTOS;C:\img\CLASIFICACION_FINAL_IA\REPUESTOS\cellImage_1063710711_0.jpg
cellImage_1063710711_1.jpg;REPUESTOS;C:\img\CLASIFICACION_FINAL_IA\REPUESTOS\cellImage_1063710711_1.jpg
cellImage_1103353273_0.jpg;LUJOS_ACCESORIOS;C:\img\CLASIFICACION_FINAL_IA\LUJOS_ACCESORIOS\cellImage_1103353273_0.jpg
cellImage_1121279119_0.jpg;REPUESTOS;C:\img\CLASIFICACION_FINAL_IA\REPUESTOS\cellImage_1121279119_0.jpg
cellImage_115144617_0.jpg;HERRAMIENTAS;C:\img\CLASIFICACION_FINAL_IA\HERRAMIENTAS\cellImage_115144617_0.jpg
cellImage_115144617_1.jpg;HERRAMIENTAS;C:\img\CLASIFICACION_FINAL_IA\HERRAMIENTAS\cellImage_115144617_1.jpg
cellImage_117467113_0.jpg;REPUESTOS;C:\img\CLASIFICACION_FINAL_IA\REPUESTOS\cellImage_117467113_0.jpg
cellImage_1234105616_0.jpg;REPUESTOS;C:\img\CLASIFICACION_FINAL_IA\REPUESTOS\cellImage_1234105616_0.jpg
cellImage_1234105616_1.jpg;REPUESTOS;C:\img\CLASIFICACION_FINAL_IA\REPUESTOS\cellImage_1234105616_1.jpg
cellImage_1268435165_0.jpg;HERRAMIENTAS;C:\img\CLASIFICACION_FINAL_IA\HERRAMIENTAS\cellImage_1268435165_0.jpg
cellImage_1268435165_1.jpg;HERRAMIENTAS;C:\img\CLASIFICACION_FINAL_IA\HERRAMIENTAS\cellImage_1268435165_1.jpg
